,tmax,precip(mm),tmin,rhmin,rhmax
0,277.945556640625,0.00019384072220418602,273.276123046875,45.70586395263672,89.78375244140625
1,275.2105407714844,0.00030629485263489187,269.5880126953125,53.01654052734375,97.55508422851562
2,275.9584655761719,8.002795948414132e-05,267.31573486328125,65.28681182861328,99.73046112060547
3,274.8007507324219,2.37320018641185e-05,266.9549560546875,63.43995666503906,100.0
4,275.0708312988281,0.00015672501467633992,265.18524169921875,65.3671875,99.18238830566406
5,276.9792175292969,4.0172988519771025e-05,271.1907043457031,60.45437240600586,99.25381469726562
6,276.66729736328125,9.729136763780843e-06,269.12908935546875,69.16632080078125,99.19339752197266
7,275.8006286621094,0.0,268.4601745605469,59.480613708496094,99.28697967529297
8,274.1983337402344,0.0,262.74542236328125,42.82246780395508,77.4852523803711
9,265.7980651855469,0.0,257.6572265625,43.912986755371094,80.6014404296875
